prefilter_suggestion,prefilter_reason,Include_Title_Abstract,Exclusion_Reason,id,doi,title,abstract,keywords,venue,year,block,tool_type,method_class,sources_found
LIKELY_EXCLUDE,off-topic: engineer-to-order (manufacturing),,,https://openalex.org/W1544785930,10.1080/09537287.2014.1001808,Engineer-to-order (ETO) production planning and control: an empirical framework for machinery-building companies,"This paper illustrates the results of an empirical study involving 21 engineer-to-order (ETO) companies, operating in the machinery-building industry. The study investigates the needs and requirements of such companies in terms of software support for governing the businesses, with particular emphasis on production planning and control (PPC) processes. An empirical analysis investigated two main aspects: (i) the set of business activities performed by the companies in the analysed industry and (ii) the relevant, high-level software functionalities required for the execution of such activities. As an answer to the observed compelling need for reviewing the general approaches to PPC in machinery-building companies, we develop an empirical, high-level production planning and scheduling reference framework, encompassing all the activities involved in the order fulfilment process.",Production planning; Empirical research; Order (exchange); Production (economics); Build to order; Software; Control (management); Engineering; Manufacturing engineering; Process management; Process (computing); Scheduling (production processes); Computer science; Business; Operations management; Economics,Production Planning & Control,2015,ETo_Software_Tools,Desktop / generic software,Unclassified,openalex;scopus
LIKELY_EXCLUDE,off-topic: medicine/clinical,,,https://openalex.org/W2389227418,,[Clinical features and prognosis of t (8; 21)/AML1-ETO-positive childhood acute myeloid leukemia].,"UNLABELLED: OBJECTIVE To study the clinical and biological characteristics and prognosis of t(8;21)/AML1-ETO-positive childhood acute myeloid leukemia (AML). METHODS: The clinical data of 55 children who were diagnosed as t (8; 21)/AML1-ETO-positive AML were retrospectively studied. Event-free survival (EFS), disease-free survival (DFS), and overall survival (OS) rates were estimated by the Kaplan-Meier method. Prognostic factors were evaluated by COX regression analysis software. RESULTS: Of the 55 patients, 4 patients gave up treatment after the diagnosis was confirmed and 4 patients were lost to follow-up after the first chemotherapy course. The remaining 47 patients received a double-induction therapy. The total complete remission (CR) rate was 71% and 94% after the first and second chemotherapy course, respectively. The disease was relapsed in 10 patients (21%). The 5-year EFS, DFS and OS rates were (56.1 ± 7.9)%, (59.8 ± 8.1)%, and (72.0 ± 8.1)%, respectively. Multivariate analysis showed that age was an independent risk factor for the long-term prognosis. The older children had a greater risk of experiencing an accident or death (P<0.05). The 5-year OS rate in 27 patients with regular consolidation chemotherapy was significantly higher than 13 patients with irregular chemotherapy after CRz [(47.5 ± 17.1)% vs (38.9 ± 17.3)%; P<0.01]. CONCLUSIONS: Childhood t(8;21)/AML1-ETO-positive AML is a highly heterogeneous disease, with a high CR rate and a good long-term prognosis. Age is one of the important factors affecting the long-term therapeutic effect. Regular consolidation chemotherapy applied after CR usually is helpful.",Medicine; Internal medicine; Chemotherapy; Myeloid leukemia; Proportional hazards model; Multivariate analysis; Gastroenterology; Disease; Survival analysis; Leukemia; Oncology; Surgery,PubMed,2011,ETo_Software_Tools,Desktop / generic software,Unclassified,openalex;scopus
CHECK,ET signal + off-topic token (medicine/clinical),,,https://openalex.org/W3030380544,10.3760/cma.j.issn.1673-419x.2015.04.002,Clinical significances of WT1 gene and AML1-ETO fusion gene expression for monitoring minimal residual disease in children with acute myeloid leukemia,"Objective
To explore the diagnostic value of WT1 gene and AML1-ETO fusion gene in the monitoring of minimal residual disease (MRD) and prediction of relapse in childhood acute myeloid leukemia (AML).


Methods
From May 2007 to March 2015, a total of 13 AML1-ETO fusion gene positive AML children and 15 leukemia fusion gene negative AML children who received initial treatment in Department of Pediatrics in Sichuan Provincial People's Hospital were enrolled as study objects, and divided into fusion gene positive group (n=13) and fusion gene negative group (n=15). Relative expression levels of WT1 gene and AML1-ETO fusion gene were detected by real-time fluorescence quantitative reverse transcription-polymerase chain reaction (qRT-PCR) technique in bone marrow samples from children of two groups at the beginning of treatment and during follow-up period. Correlation of relative expression levels of WT1 gene and AML1-ETO fusion gene were analyzed by SPSS statistical software. The sensitivity, specificity, accuracy, positive predictive value, negative predictive value, positive likelihood ratio, and negative likelihood ratio of MRD predicting relapse were calculated and compared. Kaplan-Meier method was used to compare the relapse-free survival (RFS) rate between two groups and to assess MRD on the prediction of relapse. The study protocol was approved by the Ethical Review Board of investigation in Human Being of Sichuan Provincial People's Hospital.Informed consent was obtained from all participants.


Results
①The relative expression levels of WT1 gene and AML1-ETO fusion gene were positively correlated in 83 bone marrow samples from 13 cases of fusion gene positive group (R2=0.874, P 0.05) at the time points of first diagnosis, first induction of remission, and relapse. ③After the first time induction of remission in the fusion gene positive group children, AML1-ETO quantitative levels as predictive relapse of diagnostic indicators were the highest in the sensitivity, accuracy, positive predictive value, negative predictive value as 85.7%, 76.9%, 75.0% and 80.0% respectively and negative likelihood ratio was minimum as 0.29. The specificity of WT1 gene in the fusion gene negative group was highest as 71.4%. ④After the first time induction of remission, there were 8 patients whose relative expression levels of AML1-ETO fusion gene were more than 0.01 in fusion gene positive group. Among these 8 cases, 6 patients relapsed and relapse rate was 75.0%. Relative expression levels of AML1-ETO fusion gene in other 5 cases were less than 0.01. Among the 5 cases, 1 patient relapsed and relapse rate was 20.0%. The difference of relapse rate between patents whose relative expression levels of AML1-ETO fusion gene were more and less than 0.01 was statistically significant (χ2=13.0, P=0.000). Up to the time of the follow-up , RFS rate of the patients with the relative expression level of AML1-ETO fusion gene more than 0.01 was significantly lower than that of patients with the relative expression level less than 0.01 (P=0.001). ⑤ After the first time induction of remission, there were 8 patients whose relative expression levels of WT1 gene were more than 0.01 in fusion gene negtive group. Among these 8 cases, 6 patients relapsed and relapse rate was 75.0%. Relative expression levels of WT1 gene in other 7 cases were less than 0.01. Among the 7 cases, 1 case relapsed and relapse rate was 14.3%. The difference of relapse rate between patients whose relative expression levels of WT1 gene were more and less than 0.01 was statistically significant (χ2=15.0, P=0.000). Up to the time of the follow-up , RFS rate of the patients with the relative expression level of WT1 gene more than 0.01 was significantly lower than that of patients with the relative expression level less than 0.01 (P=0.004).


Conclusions
AML1-ETO fusion gene is suitable for monitoring the MRD of AML children with fusion gene positive. WT1 gene is more suitable for detecting MRD and predicting relapse in AML children with fusion gene negative. It may indicate relapse when WT1 and AML1-ETO fusion gene relative expression levels significantly increased.


Key words: 
Leukemia, myeloid, acute; gene, Wilms' tumor; AML1-ETO fusion gene, human; Neoplasm, residual; Polymerase chain reaction",Fusion gene; Minimal residual disease; Myeloid leukemia; Medicine; Oncology; Internal medicine; Gene; Leukemia; Disease; Immunology; Cancer research; Biology; Genetics,Guoji shuxue ji xueyexue zazhi,2015,ETo_Software_Tools,Desktop / generic software,Unclassified,openalex
CHECK,no clear ET/irrigation signal in title/abstract,,,https://openalex.org/W4321379800,10.31000/dmj.v7i1.7296,PRODUKTIVITAS KERJA KARYAWAN DIPENGARUHI OLEH JENJANG KARIR DAN ETOS KERJA PADA PT. VICTORY CHINGLUH INDONESIA,"AbstractThis study aims to determine the effect of career path and work ethic on employee productivity at PT. Victory Chingluh Indonesia During the Covid-19 Pandemic either partially or simultaneously. This study uses an associative method with a quantitative approach. Sampling as many as 91 people. Data collection techniques and tools are questionnaires or questionnaires. Descriptive data analysis techniques are used to describe the responses of respondents' answers and data distribution, while inferential statistical analysis is used to test hypotheses. The data processing is assisted by SPSS software version 25. Based on the contribution of Career Path (X1) and Work Ethics (X2) to Work Productivity (Y) of 79.20%, the remaining 20.80% is influenced by other variables (X) not examined ( epsilon) but affects Work Productivity (Y). If it is projected based on the multiple regression test it shows that the higher the value of Career Path (X1) and Work Ethic (X2) simultaneously at a certain value, then the value of Work Productivity (Y) increases at a certain value as well. The Effect of Career Path and Work Ethics Simultaneously on Work Productivity at PT. Victory Chingluh Indonesia is significant. Partially Career Path has a positive and significant effect on Work Productivity, while Work Ethics has a positive and significant effect on Work Productivity at PT. Victory Ching Luh Indonesia.Keywords: Career Path, Work Ethic, Work Productivity AbstrakPenelitian ini bertujuan untuk mengetahui pengaruh Jenjang Karir dan Etos Kerja Terhadap Produktivitas Kerja Karyawan PT. Victory Chingluh Indonesia Pada Masa Pandemi Covid-19 baik secara parsial maupun simultan. Penelitian ini menggunakan metode asosiasif dengan pendekatan kuantitatif. Pengambilan sampel sebanyak 91 orang. Teknik dan alat pengumpulan data adalah dengan kuesioner atau angket. Teknik analisis data deskriptif digunakan untuk mengetahui gambaran atas tanggapan jawaban responden dan sebaran data, sedangkan analisis statistik inferensial untuk pengujian hipotesis. Pengolahan datanya dibantu dengan software SPSS versi 25. Berdasarkan kontribusi Jenjang Karir (X1), dan Etos Kerja (X2) terhadap Produktivitas Kerja (Y) sebesar 79,20% sisanya 20,80% dipengaruhi oleh variabel lain (X) yang tidak diteliti (epsilon) namun mempengaruhi Produktivitas Kerja (Y). Jika diproyeksikan berdasarkan uji regresi berganda menunjukan bahwa semakin tinggi nilai Jenjang Karir (X1), dan Etos Kerja (X2) secara bersamaan pada nilai tertentu, maka meningkatkan nilai Produktivitas Kerja (Y) pada nilai tertentu pula. Pengaruh Jenjang Karir dan Etos Kerja secara simultan terhadap Produktivitas Kerja di PT. Victory Chingluh Indonesia signifikan. Secara parsial Jenjang Karir berpengaruh positif dan signifikan terhadap Produktivitas Kerja, sedangkan Etos Kerja berpengaruh positif dan signifikan terhadap Produktivitas Kerja di PT. Victory Chingluh Indonesia.Kata Kunci: Jenjang Karir, Etos Kerja, Produktivitas Kerja",Path analysis (statistics); Victory; Productivity; Work ethic; Work productivity; Psychology; Work (physics); Management; Political science; Mathematics; Engineering; Economics; Statistics; Law; Economic growth,Dynamic Management Journal,2023,ETo_Software_Tools,Desktop / generic software,Unclassified,openalex
CHECK,no clear ET/irrigation signal in title/abstract,,,https://openalex.org/W4312405568,10.56406/emrr.v1i1.36,PENGARUH KEPEMIMPINAN KARISMATIK TERHADAP ETOS KERJA STAKEHOLDER PADA PONDOK PESANTREN MODERN MAN ANA KECAMATAN PAMIJAHAN KABUPATEN BOGOR,"Maulana Firdaus (NIM: 1415.04.003). Effects of Charismatic Leadership on Stakeholder Work Ethics&#x0D; This study aims to determine the effect of charismatic leadership on stakeholder work ethics. This research was conducted at Modern Man Ana Islamic Boarding School, Pamijahan District, Bogor Regency. The research method used is a type of inferential research with a quantitative approach with research subjects are the Principals of Modern Man Ana Islamic Boarding Schools and respondents of this study are all stakeholders of the Modern Man Ana Islamic Boarding Schools. Sampling is done by non-probability sampling technique that is with saturated samples. Data collection using the questionnaire method and unstructured interviews. Analysis of the data used in this study was a descriptive analysis of respondents, a descriptive statistical analysis of variables, an assumption test using the normality test, and a hypothesis test using simple linear regression analysis, the t-test and the coefficient of determination test (∆R2).&#x0D; The results of the study which were processed using the SPSS computer program version 16.0 for windows showed that the results of hypothesis testing using simple linear regression analysis showed that charismatic leadership had a positive effect on stakeholder work ethics in Modern Man Ana Islamic Boarding School, Pamijahan District, Bogor Regency. This is evidenced by the beta coefficient (β) of 0.269 and a significance value of 0.034. The contribution of charismatic leadership influence to the work ethic of stakeholders of (∆R2) 0.168 or 16.8% (significant influence) can be proven by stakeholders and students have been able to achieve achievements that boast both academic and nonacademic.&#x0D; The application of charismatic leadership to the work ethic of stakeholders in Modern Man Ana Islamic Boarding School, Pamijahan Sub-district, Bogor Regency is seen from 4 aspects of charismatic leadership implemented by the leadership of Modern Man Ana Islamic Boarding School in daily life, namely among them: ability, self confidence, confidence, and environmental sensitivity.&#x0D; Charismatic leadership positively influences stakeholder work ethic at Modern Man Ana Islamic Boarding School, Pamijahan District, Bogor Regency. This is evidenced by the regression coefficient of 0.269, indicating that if charismatic leadership increases by 0.269; the stakeholder work ethic increases by 0.269; t count 2,249&gt; t table 2.059 then H0 is rejected and H1 is accepted, so it can be concluded that the charismatic leadership variable (X) influences the stakeholder work ethic variable (Y). Significance value of 0.034 &lt;0.05 then H0 is rejected and H1 is accepted, so it can be concluded that the charismatic leadership variable (X) influences the stakeholder work ethic variable (Y).",Stakeholder; Boarding school; Work ethic; Test (biology); Charismatic authority; Simple linear regression; Charisma; Islam; Data collection; Management; Descriptive statistics; Regression analysis; Psychology; Sociology; Work (physics); Social science; Mathematics; Statistics; Political science; Engineering; Geography,JOURNAL EDUCATIONAL MANAGEMENT REVIEWS AND RESEARCH,2022,ETo_Software_Tools,Desktop / generic software,Unclassified,openalex
CHECK,ET signal + off-topic token (electronics/materials),,,2-s2.0-80054065522,10.1016/j.pce.2011.07.035,Estimation of actual evapotranspiration using the Surface Energy Balance System (SEBS) algorithm in the Upper Manyame catchment in Zimbabwe,"Evapotranspiration plays a central role in the water balance of arid and semi-arid areas, as it is the major loss flux. The spatial estimation of actual evapotranspiration is thus of critical importance for hydrologic, environmental and agricultural purposes. This study therefore applied the Surface Energy Balance System for turbulent heat fluxes (SEBS) algorithm to determine actual evapotranspiration in the Upper Manyame catchment in Zimbabwe. The SEBS algorithm was run using atmospherically corrected MODIS satellite imagery on nine clear skies days stretching from 2003 to 2005. SEBS determined actual evapotranspiration was evaluated based on two criteria over Harare-Kutsaga and Grasslands research stations. Firstly, a plausibility or physical consistency check was applied by which SEBS actual evapotranspiration estimates were compared to FAO Penman-Monteith potential evapotranspiration estimates. On average, it was observed that SEBS actual evapotranspiration estimates were physically consistent. SEBS estimates were 36.5% and 76.5% of potential evapotranspiration over Harare-Kutsaga and Grasslands stations, respectively. However, on a few days over Grasslands station SEBS actual evapotranspiration estimates were physically inconsistent as they were greater than potential evapotranspiration. SEBS actual evapotranspiration estimates were also evaluated against actual evapotranspiration from the advection aridity equation. Over Harare-Kutsaga the mean error showed a slight underestimation of 0.32mmd<sup>-1</sup> by SEBS and the mean absolute error was 0.5mmd<sup>-1</sup>. However, over Grasslands station the results were not as good as the mean error and mean absolute error showed an overestimation 2.6mmd<sup>-1</sup>. This was relatively high. The discussed reasons for the relatively high overestimation errors over Grasslands station include; roughness parameterisation, the spatial variability of input temperature data and heterogeneity. An analysis of the evaporative behaviour of the different land cover types in the catchment showed that: water bodies, closed broadleaved deciduous forests, and open broadleaved deciduous forests had relatively higher mean actual evapotranspiration rates and yet these land cover types constituted less than 5% of the catchment area. Open grasslands were observed to have low evaporative behaviour. Overall this study showed that SEBS has potential for estimating spatial actual evapotranspiration and providing useful information that can be used for water resources and environmental management and planning. © 2011 Elsevier Ltd.",Actual evapotranspiration;Advection-aridity;Land cover;Roughness;SEBS;Upper Manyame,Physics and Chemistry of the Earth,2011,ETo_Software_Tools,Remote-sensing / energy-balance model,Deterministic,openalex;scopus
CHECK,no clear ET/irrigation signal in title/abstract,,,https://openalex.org/W2503366021,10.31294/jeco.v3i1.65,PENGARUH KEPEMIMPINAN VISIONER DAN ETOS KERJA TERHADAP KINERJA PEGAWAI BANK SYARIAH MANDIRI,"Abstract - Bank Syariah Mandiri (BSM) is one of sharia bank concept and is one of the largest Islamic bank in Indonesia. However, this time a number of problems faced by BSM, including the employee performance that’s not optimally. To improve the employee performance is done by visionary leadership and work ethic. The purpose of this study was to: a) Analyze the influence of visionary leadership on employee performance; and b) Analyze the influence of work ethic on employee performance. The method used in this study is descriptive-verification, where the data obtained through questionnaires. Sample units examined in this study were 60 employees sampled. Analysis using linear regresion with assistance by SPSS 21,00 as computer software. Based on the results of the study found that the visionary leadership has positive and significant effect on employee performance on BSM; this research also found that work ethic has positive and significant effect on employee performance on BSM. Thus, BSM needs to improve the quality of visionary leadership and work ethic, as shown to affect the performance of employees. Keywords : Visionary Leadership, Work Ethic, and Employee Performance. Abstrak - Bank Syariah Mandiri (BSM) merupakan salah satu bank yang berkonsep syariah dan merupakan salah satu bank syariah terbesar di Indonesia. Namun demikian, saat ini sejumlah permasalahan tengah dihadapi oleh BSM, diantaranya berkaitan dengan kinerja pegawai yang belum optimal. Upaya untuk meningkatkan kinerja pegawai dilakukan melalui kepemimpinan visioner dan etos kerja. Tujuan penelitian ini adalah untuk: a) Menganalisis pengaruh kepemimpinan visioner terhadap kinerja pegawai; serta b) Menganalisis pengaruh etos kerja terhadap kinerja pegawai. Metode penelitian yang digunakan dalam penelitian ini deskriptif-verifikatif, dimana data diperoleh melalui penyebaran angket. Unit sampel yang diteliti dalam penelitian ini adalah 60 sampel pegawai. Teknik analisis data menggunakan regresi linear dengan bantun software komputer SPSS 21.00. Berdasarkan hasil penelitian ditemukan bahwa kepemimpinan visioner berpengaruh positif dan signifikan terhadap kinerja pegawai BSM; selain itu ditemukan bahwa etos kerja berpengaruh positif dan signifikan terhadap kinerja pegawai BSM. Dengan demikian, BSM perlu meningkatkan kualitas kepemimpinan visioner dan etos kerja pegawai karena terbukti mempengaruhi kinerja pegawai.       Kata Kunci: Kepemimpinan Visioner, Etos Kerja, dan Kinerja Pegawai.",Business administration; Management; Work ethic; Business; Psychology; Political science; Work (physics); Accounting; Engineering; Economics; Mechanical engineering,"Jurnal Ecodemica: Jurnal Ekonomi, Manajemen, dan Bisnis",2015,ETo_Software_Tools,Desktop / generic software,Unclassified,openalex
CHECK,no clear ET/irrigation signal in title/abstract,,,https://openalex.org/W4410412900,10.60145/jcp.v1i5.120,PENGARUH GAYA KEPEMIMPINAN OTORITER DAN DEMOKRATIS TERHADAP ETOS KERJA KARYAWAN DI PT INOVASI TEKNOMEDIA BANGSA,"Latar Belakang : PT Inovasi Teknomedia Bangsa adalah sebuah perusahaan teknologi informasi yang bergerak di bidang pengembangan perangkat lunak dan solusi teknologi. Sebagai perusahaan yang berorientasi pada inovasi dan perkembangan teknologi, PT Inovasi Teknomedia Bangsa sangat bergantung pada kinerja dan etos kerja karyawan yang tinggi. Oleh karena itu, penting untuk memahami faktor-faktor yang memengaruhi etos kerja karyawan dalam lingkungan organisasi tersebut. Salah satu faktor yang mempengaruhi etos kerja karyawan adalah gaya kepemimpinan yang diterapkan oleh pimpinan di perusahaan tersebut. Gaya kepemimpinan yang berbeda dapat memberikan pengaruh yang berbeda pula terhadap motivasi, keterlibatan, dan etos kerja karyawan. Tujuan : Bertujuan untuk mengetahui pengaruh gaya kepemimpinan otoriter dan demokratis terhadap etos kerja karyawan di PT Inovasi Teknomedia Bangsa. Jenis penelitian ini adalah penelitian kuantitatif. Metode : Metode penelitian ini menggunakan metode pengumpulan data dalam penelitian ini menggunakan kuesioner dengan banyak responden 60 orang. Teknik pengumpulan data dalam penelitian ini adalah regresi linier berganda, Uji F (Uji Signifikan Simultan), Uji T (Uji Signifikan Pengaruh Parsial) , Uji R (Koefisien Determinan). Hasil dan Pembahasan : Penelitian menggunakan software SPSS 20 dan hasil menunjukan bahwa tidak terdapat pengaruh positif antara gaya kepemimpinan otoriter terhadap etos kerja karyawan di PT ITB dengan hasil nilai t hitung sebesar -,990 &lt; ttabel 1.671 dan nilai signifikan 0,324 &gt; 0,05. Sedangkan terdapat pengaruh positif dan signifikan antara gaya kepemimpinan demokratis terhadap etos kerja karyawan di PT ITB dengan hasil nilai t hitung sebesar 5,710 &gt; ttabel 1.671 dan nilai signifikan 0,000 &lt; 0,05. Kesimpulan : Kesimpulannya Berdasarkan hasil penelitian yang telah peneliti lakukan didaptakan dua hasil penemuan yaitu terdapat pengaruh positif dan signifikan antara gaya kemepimpinan demokratis terhadap etos kerja karyawan di PT ITB. Namun tidak terdapat pengaruh positif tidak signifikan antara gaya kepemimpinan otoriter terhadap etos kerja karyawan di PT ITB. Penelitian ini diharapkan mampu menjadi refrensi atau acuan peneliti lainnya kedepan dan diharapkan ketika peneliti selanjutnya melakukan penelitian terkait gaya kepemimpinan dan etos kerja ada baiknya ditambahkan variabel lain agar penelitian menjadi lebih terbahrui dan cangkupanya luas.",Humanities; Psychology; Art,Journal Central Publisher,2023,ETo_Software_Tools,Desktop / generic software,Unclassified,openalex
CHECK,no clear ET/irrigation signal in title/abstract,,,https://openalex.org/W4362686869,10.21009/jbmk.0301.06,Pengaruh Etos Kerja dan Iklim Organisasi Terhadap Komitmen Organisasi Karyawan Divisi Sortation Perusahaan,"This study aims to: (1) Knowing the description of the work ethic, organizational climate, and organizational commitment of employees of the sorting division of PT A. (2) Analyzing the effect of work ethic on organizational commitment to employees of the sorting division of PT A. (3) Analyzing the influence of organizational climate on organizational commitment to employees of the sorting division of PT A. (4) Analyzing the effect of work ethic and organizational climate together on organizational commitment to employees of the sorting division of PT A. The type of data used is quantitative. The sample in this study was 122 people who were determined by the slovin formula. Collecting data using observation, interviews, and questionnaires. The data analysis technique used is multiple linear regression analysis using SPSS software version 25.0. Based on the analysis, it was found that work ethic has a positive and significant effect on organizational commitment, organizational climate has a positive and significant influence on organizational commitment, and work ethic and organizational climate together have a positive and significant influence on organizational commitment. Penelitian ini bertujuan untuk : (1) Mengetahui deskripsi dari etos kerja, iklim organisasi, dan komitmen organisasi karyawan divisi sortation PT A. (2) Menganalisis pengaruh etos kerja terhadap komitmen organisasi pada karyawan divisi sortation PT A. (3) Menganalisis pengaruh iklim organisasi terhadap komitmen organisasi pada karyawan divisi sortation PT A. (4) Menganalisis pengaruh etos kerja dan iklim organisasi secara bersama-sama terhadap komitmen organisasi pada karyawan divisi sortation PT A. Jenis data yang digunakan adalah kuantitatif. Sampel pada penelitian ini sebanyak 122 orang yang ditentukan dengan rumus slovin. Pengumpulan data menggunakan observasi, wawancara, dan kuesioner. Teknik analisis data yang digunakan adalah analisis regresi linear berganda menggunakan bantuan software SPSS versi 25.0. Berdasarkan analisis ditemukan bahwa etos kerja memiliki pengaruh positif dan signifikan terhadap komitmen organisasi, iklim organisasi memiliki pengaruh positif dan signifikan terhadap komitmen organisasi, serta etos kerja dan iklim organisasi secara bersama-sama memiliki pengaruh positif dan signifikan terhadap komitmen organisasi.",Business administration; Organizational commitment; Organisation climate; Psychology; Management; Social psychology; Business,Jurnal Bisnis Manajemen dan Keuangan,2022,ETo_Software_Tools,Desktop / generic software,Unclassified,openalex
CHECK,no clear ET/irrigation signal in title/abstract,,,https://openalex.org/W4404801093,10.56644/adl.v5i2.131,DAMPAK ETOS KERJA DAN LINGKUNGAN KERJA TERHADAP KINERJA KARYAWAN PT. NUSA CENDANA INTI PERKASA MUARA ENIM,"The work environment has an important role in improving employee performance through a good physical and non-physical environment, such as creating a safe and comfortable atmosphere for employees, including providing work safety facilities and tools, maintaining the cleanliness of the workplace, and increasing employee morale in every activity. , so that physical and non-physical conditions are adequate, work productivity will increase. Work ethic is work enthusiasm or taste for work that shows the enthusiasm for collaboration, debate and achievement, so that you can actually reap real results and contribute to the progress of the organization. Employee performance is the ability to achieve job requirements, namely when work targets can be completed at the right time or without exceeding the time limit provided so that the goals will be in accordance with the company's morals and ethics. This research aims to determine the impact of the work environment and work ethic on employee performance at PT. Nusa Cendana Inti Perkasa Muara Enim. The population and sample in this study were 60 people from all employees of the production division of PT. Nusa Cendana Inti Perkasa Muara Enim. The research data was analyzed using multiple linear analysis which was processed with the help of the Statistical Package for the Social Sciences (SPSS) computer program version 26. The results of this research indicate that there is an impact of the work environment and work ethic on employee performance at PT. Nusa Cendana Inti Perkasa Muara Enim.. With a significant F of 0.000 &lt; 0.05. Multiple linear regression equation Y = 35,908 + 0,184 X1 + 0,582 X2 PT. Nusa Cendana Inti Perkasa Muara Enim. 0.000 &lt; 0.05. There is an impact of the work environment and work ethic on employee performance. PT. Nusa Cendana Inti Perkasa Muara Enim. with a significant value of 0.000 &lt;0.05.",Business,ADL ISLAMIC ECONOMIC Jurnal Kajian Ekonomi Islam,2024,ETo_Software_Tools,Desktop / generic software,Unclassified,openalex
